0.005,108.3
0.01,84.1
0.015,81.3
0.02,81.5
0.025,82.1
0.03,86.0
0.035,89.2
0.04,89.1
0.045,90.2
0.05,88.0
0.055,91.0
0.06,87.5
0.065,106.3
0.07,112.2
0.075,99.9
0.08,130.8
0.085,135.6
0.09,134.6
0.095,86.5
0.1,77.7
0.105,79.2
0.11,78.2
0.115,78.0
0.12,80.7
0.125,119.9
0.13,86.4
0.135,84.9
0.14,83.6
0.145,83.9
0.15,84.6
0.155,85.9
0.16,87.3
0.165,82.7
0.17,78.1
0.175,77.6
0.18,78.5
0.185,77.8
0.19,78.3
0.195,78.5
0.2,89.9
0.205,94.7
0.21,77.7
0.215,77.4
0.22,77.9
0.225,106.2
0.23,86.5
0.235,84.5
0.24,84.0
0.245,84.1
0.25,77.4
